FSCS Key,Library Name,Locale,Service Area Population,Hours/Year,Physical Visits,Reference Transactions,Registered Users,Inter-library Loans to Other Library,Inter-library Loans from Other Library
CO0010,PINE RIVER PUBLIC LIBRARY DISTRICT/BAYFIELD,Town,"9,883","3,092","91,244","3,200","11,085","8,889","10,878"
CO0011,BERTHOUD COMMUNITY LIBRARY DISTRICT,Suburban,"25,069","2,236","33,925","44,400","9,722","3,437","6,936"
CO0012,BOULDER PUBLIC LIBRARY,City,"104,930","11,974","529,733","48,048","133,717","74,703","98,370"
CO0013,BROOMFIELD/EISENHOWER PUBLIC LIBRARY,City,"72,697","3,412","210,368","10,483","60,537","4,920","3,086"
CO0014,EAST MORGAN COUNTY LIBRARY DISTRICT/BRUSH,Town,"8,027","2,248","43,988","15,376","12,390","4,156","1,577"
CO0015,NORTHERN CHAFFEE COUNTY LIBRARY DISTRICT (BUENA VISTA),Town,"9,712","2,605","74,000","13,375","4,655","9,269","9,514"
CO0016,BURLINGTON PUBLIC LIBRARY,Town,"3,212","2,000","14,728",638,766,533,"1,559"
CO0017,CANON CITY PUBLIC LIBRARY,Town,"17,157","3,536","52,835","35,246","25,134","5,363","5,268"
CO0020,CONEJOS COUNTY LIBRARY DISTRICT,Rural,"7,581","4,176","3,797",397,789,"2,905",121
CO0021,CORTEZ PUBLIC LIBRARY,Town,"8,742",,"204,888","2,691","30,510","3,106",453
CO0021,CORTEZ PUBLIC LIBRARY,Town,"8,742",-1,,,,,
CO0022,COSTILLA COUNTY PUBLIC LIBRARY,Rural,"3,619","4,320","1,158",0,700,0,0
CO0024,MOFFAT COUNTY LIBRARY,Town,"13,160","3,274","33,945",980,"9,346",0,74
CO0026,WEST CUSTER COUNTY LIBRARY DISTRICT,Rural,"4,690","1,964","33,163","3,462","2,484","1,116","4,659"
CO0034,DENVER PUBLIC LIBRARY,City,"706,799",,"1,722,259","208,988","394,774","53,626","55,617"
CO0034,DENVER PUBLIC LIBRARY,City,"706,799",-1,,,,,
CO0035,DOLORES COUNTY SCHOOL/PUBLIC LIBRARY (DOVE CREEK),Rural,"2,130","4,662","23,600",162,"1,144","2,535","3,373"
CO0036,DOLORES LIBRARY DISTRICT/MONTEZUMA COUNTY,Rural,"3,929","2,288","20,533","2,184","4,323","1,597","3,832"
CO0037,DOUGLAS COUNTY LIBRARIES,Suburban,"369,287","22,412","1,326,756","95,407","258,857","14,793","39,373"
CO0038,DURANGO PUBLIC LIBRARY,Town,"56,280","2,514","211,580","26,560","30,721",105,"1,026"
CO0039,EAGLE VALLEY LIBRARY DISTRICT,Town,"45,033","8,267","251,437","15,548","29,603","69,546","28,346"
CO0040,ELBERT COUNTY LIBRARY DISTRICT,Rural,"27,120","7,951","33,208","14,976","9,418","9,369","10,659"
CO0041,ENGLEWOOD PUBLIC LIBRARY,Suburban,"33,500","2,940","119,563","29,097","33,815","5,396",0
CO0042,ESTES VALLEY PUBLIC LIBRARY DISTRICT,Town,"11,867","3,100","94,810",687,"12,276",924,"3,897"
CO0045,JOHN C. FREMONT LIBRARY DISTRICT (FLORENCE),Town,"6,679","2,128","15,080","7,280","4,121","2,823","3,478"
CO0046,POUDRE RIVER PUBLIC LIBRARY DISTRICT,City,"209,947","10,331","633,723","42,120","110,432","36,423","50,141"
CO0047,FORT MORGAN PUBLIC LIBRARY,Town,"11,483","2,793","73,958","9,049","12,338","4,080","3,483"
CO0048,FOWLER PUBLIC LIBRARY,Rural,"1,157","1,770","6,149",250,"1,031","1,540",369
CO0049,GARFIELD COUNTY PUBLIC LIBRARY DISTRICT,Town,"62,151","16,744","308,675","38,994","62,852","66,145","56,394"
CO0050,GILPIN COUNTY LIBRARY DISTRICT,Rural,"5,882","3,068","17,437",621,"3,033","1,347","3,317"
CO0051,GRAND COUNTY LIBRARY DISTRICT,Rural,"15,835","8,371","136,863","15,000","13,912","22,545","30,844"
CO0052,GUNNISON COUNTY LIBRARY DISTRICT,Town,"17,293","5,540","173,163","9,021","13,804","26,851","21,167"
CO0053,HAXTUN PUBLIC LIBRARY,Rural,949,520,726,5,237,194,189
CO0054,WEST ROUTT LIBRARY DISTRICT/HAYDEN,Rural,"3,230",847,"10,770","2,000","2,353","2,186",951
CO0055,HOLLY PUBLIC LIBRARY,Rural,809,"1,040","1,992",0,490,0,55
CO0056,HOLYOKE/HEGINBOTHAM LIBRARY,Rural,"2,416","2,248","6,000","4,161","4,528",960,690
CO0057,SPANISH PEAKS LIBRARY DISTRICT,Town,"5,280",,"6,052","1,943","8,350","1,288","1,553"
CO0057,SPANISH PEAKS LIBRARY DISTRICT,Town,"5,280",-1,,,,,
CO0058,HUGO PUBLIC LIBRARY,Rural,951,880,"3,821",250,211,372,527
CO0059,JACKSON COUNTY PUBLIC LIBRARY,Rural,"1,359","1,783","3,820",371,"2,040",312,195
CO0060,JEFFERSON COUNTY PUBLIC LIBRARY,City,"579,651","32,688","1,725,351","247,988","286,486","50,786","94,470"
CO0061,JULESBURG PUBLIC LIBRARY,Rural,"1,226","1,950","5,125","1,545",624,423,502
CO0062,KIOWA COUNTY PUBLIC LIBRARY DISTRICT,Rural,"1,452","1,704","4,193",623,520,"1,039",672
CO0063,LA JUNTA/WOODRUFF MEMORIAL LIBRARY,Town,"7,282","2,803","52,912","4,819","3,745",144,944
CO0064,LA VETA REGIONAL LIBRARY DISTRICT,Rural,"1,474","2,838","30,880","1,033","3,343",953,"1,830"
CO0065,LAFAYETTE PUBLIC LIBRARY,Suburban,"30,307","2,882","120,815","14,598","40,996","35,897","38,411"
CO0066,HINSDALE LIBRARY DISTRICT/LAKE CITY,Rural,779,"1,040","5,096",115,"1,387",331,15
CO0067,LAKE COUNTY PUBLIC LIBRARY,Town,"7,392","2,132","35,311",280,"5,732","8,095","4,202"
CO0068,LAMAR PUBLIC LIBRARY,Town,"11,978","2,610","64,300","1,125","4,148","4,899","1,344"
CO0069,LAS ANIMAS-BENT COUNTY LIBRARY DISTRICT,Town,"4,936",,"12,436",252,"2,439","1,891",981
CO0069,LAS ANIMAS-BENT COUNTY LIBRARY DISTRICT,Town,"4,936",-1,,,,,
CO0070,LIMON MEMORIAL LIBRARY,Rural,"2,031","1,568","13,872",845,"1,403","3,874","1,421"
CO0071,LINCOLN COUNTY BOOKMOBILE,Rural,"5,669",814,"2,740",624,435,284,546
CO0072,LITTLETON/BEMIS PUBLIC LIBRARY,Suburban,"45,465","3,113","180,567","23,564","44,307","7,287","4,313"
CO0073,LONGMONT PUBLIC LIBRARY,Suburban,"98,789","3,334","261,392","37,179","95,831","73,365","150,208"
CO0074,LOUISVILLE PUBLIC LIBRARY,Suburban,"34,374","2,955","142,676","12,844","27,033","4,461","3,597"
CO0075,LOVELAND PUBLIC LIBRARY,Suburban,"75,938","2,815","225,339","34,944","78,926","6,669","5,178"
CO0077,LYONS REGIONAL LIBRARY DISTRICT,Rural,"4,291","2,345","30,370","1,761","3,544","3,429","5,477"
CO0078,MANCOS LIBRARY DISTRICT,Rural,"3,391","2,496","16,328","1,864","2,896","3,377","2,061"
CO0081,MEEKER REGIONAL LIBRARY DISTRICT,Rural,"3,810","2,678","15,662",32,"2,389",335,321
CO0082,MESA COUNTY PUBLIC LIBRARY DISTRICT,City,"157,320","15,800","791,454","25,080","71,077","35,912","123,162"
CO0083,MINERAL COUNTY SCHOOL/REGIONAL PUBLIC LIBRARY,Rural,925,,"3,005",41,365,393,0
CO0083,MINERAL COUNTY SCHOOL/REGIONAL PUBLIC LIBRARY,Rural,925,-1,,,,,
CO0085,MONTROSE REGIONAL LIBRARY DISTRICT,Town,"42,596",,"179,128","13,884","23,814","18,706","25,616"
CO0085,MONTROSE REGIONAL LIBRARY DISTRICT,Town,"42,596",-1,,,,,
CO0087,LONE CONE LIBRARY DISTRICT (NORWOOD),Rural,"2,238","2,040","22,776",599,"1,236","1,320",351
CO0088,NUCLA PUBLIC LIBRARY,Rural,578,"1,250","2,321",52,"2,580",0,0
CO0090,COMBINED COMMUNITY LIBRARY (ORDWAY),Rural,"5,837","2,288","1,199",181,680,807,595
CO0092,OURAY LIBRARY DISTRICT,Rural,"1,653","1,325","8,380","1,072","2,693","1,309","1,386"
CO0094,PARK COUNTY PUBLIC LIBRARY,Rural,"17,720","7,032","44,407","4,971","17,571",92,"1,271"
CO0095,PENROSE COMMUNITY LIBRARY DISTRICT,Rural,"4,170","2,080","7,773","10,485","2,271","2,641","1,495"
CO0096,PIKES PEAK LIBRARY DISTRICT,City,"678,560","37,436","1,669,699","84,920","293,794","7,242","23,144"
CO0098,PITKIN COUNTY LIBRARY,Town,"13,182","2,910","123,100","5,875","11,283","35,319","10,228"
CO0099,PUEBLO CITY-COUNTY LIBRARY DISTRICT,City,"169,503","23,457","601,986","49,569","93,827","2,185","1,128"
CO0100,RANGELY REGIONAL LIBRARY DISTRICT,Rural,"2,476","1,600","8,651",634,"2,276",0,0
CO0102,ROCKY FORD PUBLIC LIBRARY,Town,"3,876","3,250","76,786","3,145","5,516",958,0
CO0103,SOUTH ROUTT LIBRARY DISTRICT,Rural,"3,301","2,694","8,965",127,"1,717",0,10
CO0107,SOUTHERN TELLER COUNTY SCHOOL/PUBLIC LIB DIST,Rural,"5,103","3,664","27,817",673,"2,257",910,120
CO0108,NORTHERN SAGUACHE COUNTY LIBRARY DISTRICT,Rural,"3,449","3,952","19,255","1,411","2,756","1,621","1,563"
CO0109,SOUTHERN CHAFFEE COUNTY REGIONAL LIB DIST/SALIDA,Town,"9,812","3,061","129,573",100,"10,607","38,493","36,520"
CO0110,SECURITY PUBLIC LIBRARY,Suburban,"59,974","2,912","92,555","25,000","17,623","7,935","7,494"
CO0111,SILVERTON PUBLIC LIBRARY,Rural,638,,"2,466",554,732,271,414
CO0111,SILVERTON PUBLIC LIBRARY,Rural,638,-1,,,,,
CO0112,EAST ROUTT LIBRARY DISTRICT,Town,"18,793","3,179","201,736","12,334","17,131","38,795","21,451"
CO0113,STERLING PUBLIC LIBRARY,Town,"13,976","3,302","47,196","1,607","10,299","3,357","1,175"
CO0114,STRATTON PUBLIC LIBRARY,Rural,685,"1,092","1,436",282,802,291,451
CO0115,SUMMIT COUNTY LIBRARY,Town,"30,970","7,436","118,185","6,028","19,529","10,647","16,438"
CO0116,SWINK SCHOOL/PUBLIC LIBRARY,Town,"1,499","1,260",600,256,359,637,0
CO0117,SAN MIGUEL LIBRARY DISTRICT # 1 (TELLURIDE),Rural,"6,266","1,664","149,215","22,886","12,103","21,585","5,884"
CO0118,TRINIDAD CARNEGIE PUBLIC LIBRARY,Town,"14,180","2,096","28,430","1,439","6,296","1,837","3,946"
CO0119,VAIL PUBLIC LIBRARY,Town,"4,900","3,081","94,889","1,088","11,685","20,595","2,623"
CO0129,WELLINGTON PUBLIC LIBRARY,Town,"10,769","1,966","19,934","2,452","6,776","1,590","2,570"
CO0130,WESTMINSTER PUBLIC LIBRARY,Suburban,"115,535","4,898","141,131","23,895","54,664",0,684
CO0131,CLEARVIEW LIBRARY DISTRICT,Suburban,"42,908","3,800","145,161","1,352","26,198","3,437","3,946"
CO0132,RAMPART REGIONAL LIBRARY DISTRICT,Town,"20,131","2,530","80,112","6,336","19,101","20,186","34,249"
CO0133,WRAY PUBLIC LIBRARY,Rural,"2,338","2,045","11,410",364,"4,007",993,18
CO0134,YUMA PUBLIC LIBRARY,Town,"3,451","2,300","12,500",732,"2,416",997,"1,311"
CO0141,IGNACIO COMMUNITY LIBRARY DISTRICT,Rural,"5,424","2,346","52,124","4,287","8,620","1,577","2,876"
CO0143,CLEAR CREEK COUNTY LIBRARY DISTRICT,Rural,"9,453","6,084","42,943","34,990","5,958",0,"1,229"
CO0144,DELTA COUNTY PUBLIC LIBRARY DISTRICT,Rural,"31,773","5,512","131,573","10,955","14,192","24,717","27,850"
CO0145,HIGH PLAINS LIBRARY DISTRICT,City,"304,265","41,048","902,778","243,682","84,936","60,920","27,775"
CO0146,RIO GRANDE COUNTY LIBRARY DISTRICT,Town,"11,399","5,449","27,379","6,583","13,249",738,"1,114"
CO0147,SOUTHWEST LA PLATA LIBRARY DISTRICT,Rural,"4,548","2,400","10,981",216,908,"1,442",643
CO9014,FLAGLER COMMUNITY LIBRARY,Rural,504,"1,560","2,500",10,456,214,"1,006"
CO9015,FLEMING COMMUNITY LIBRARY (SCHOOL/PUBLIC),Rural,960,"1,038","12,847","1,000",547,"1,096",374
CO9016,RED FEATHER MOUNTAIN LIBRARY DISTRICT,Rural,"1,752","3,097","17,241",142,"2,516","1,580",977
CO9017,EAST CHEYENNE COUNTY LIBRARY DISTRICT,Rural,"1,409","1,114","1,955",663,398,0,0
CO9018,RIDGWAY PUBLIC LIBRARY DISTRICT,Rural,"2,935","1,979","41,522","3,339","2,646","2,482","2,161"
CO9019,AGUILAR PUBLIC LIBRARY,Rural,534,880,480,24,853,0,0
CO9023,WETMORE COMMUNITY LIBRARY,Rural,361,"1,036","1,988",0,194,0,0
CO9025,BOULDER COUNTY NEDERLAND COMMUNITY LIBRARY DISTRICT,Rural,"3,472","2,800","36,720","3,421","5,932",420,352
CT0001,ANDOVER PUBLIC LIBRARY,Rural,"3,133","2,080","5,122",358,"1,548",617,600
CT0002,ANSONIA LIBRARY,Suburban,"18,815","1,536","9,830","19,660","2,023",11,0
CT0003,BABCOCK LIBRARY,Rural,"4,186","1,896","3,500",216,748,"7,662","6,968"
CT0004,AVON FREE PUBLIC LIBRARY,Suburban,"18,848","2,960","80,405","22,300","6,231","9,734","13,126"
CT0005,BEACON FALLS PUBLIC LIBRARY,Suburban,"6,033","2,196","7,272",780,"1,100","1,704","2,081"
CT0006,EAST BERLIN LIBRARY ASSOCIATION,Suburban,"20,113",,"72,474","12,729","10,562","16,363","15,965"
CT0006,EAST BERLIN LIBRARY ASSOCIATION,Suburban,"20,113",-1,,,,,
CT0007,BERLIN-PECK MEMORIAL LIBRARY,Suburban,"20,113","2,756","64,557","15,652","6,063","9,070","7,660"
CT0008,BERLIN FREE LIBRARY ASSOCIATION,Suburban,"20,113",,"72,474","12,729","10,562","16,363","15,965"
CT0008,BERLIN FREE LIBRARY ASSOCIATION,Suburban,"20,113",-1,,,,,
CT0009,CLARK MEMORIAL LIBRARY,Rural,"5,288","1,220","5,843",150,"2,031","2,351","3,253"
CT0010,BETHEL PUBLIC LIBRARY,Suburban,"20,537","2,766","46,798","16,711","5,340","5,452","9,372"
CT0011,BETHLEHEM PUBLIC LIBRARY,Rural,"3,386","2,068","7,364","1,340","2,183",276,310
CT0012,BLOOMFIELD PUBLIC LIBRARY,Suburban,"21,480","4,438","75,830","12,698","7,557","7,816","6,669"
CT0013,BENTLEY MEMORIAL LIBRARY,Rural,"4,819","2,304","7,891",295,"1,225","2,129","1,008"
CT0014,JAMES BLACKSTONE MEMORIAL LIBRARY,Suburban,"28,176","3,120","85,246","6,286","9,906","11,110","19,447"
CT0015,WILLOUGHBY WALLACE MEMORIAL LIBRARY,Suburban,"28,176","2,830","18,512","13,628","1,251","5,442","4,312"
CT0016,BRIDGEPORT PUBLIC LIBRARY,City,"148,333","9,752","114,532","31,590","12,052","10,610","6,856"
CT0017,BURNHAM LIBRARY,Rural,"1,658","1,664","20,056",200,532,"1,374",674
CT0018,BRISTOL PUBLIC LIBRARY,Suburban,"60,661","5,885","128,804","24,072","14,015","20,642","11,267"
CT0019,BROOKFIELD LIBRARY,Suburban,"17,482","2,760","37,817","6,215","7,570","11,777","10,255"
CT0020,BROOKLYN TOWN LIBRARY ASSOCIATION,Rural,"8,488","1,496","3,756",824,"5,670",86,241
CT0021,BURLINGTON PUBLIC LIBRARY,Rural,"9,591","2,619","30,661","2,290","2,745","3,849","3,663"
CT0022,DAVID M. HUNT LIBRARY,Rural,"1,078","1,075","10,686",525,464,"1,119",862
CT0023,CANTERBURY PUBLIC LIBRARY,Rural,"5,060","1,887","10,457","2,394","1,243",198,"1,363"
CT0024,CANTON PUBLIC LIBRARY,Suburban,"10,083","2,548","66,437","2,500","3,359","5,963","4,949"
CT0025,CHAPLIN PUBLIC LIBRARY,Rural,"2,143","1,196","4,247",624,"1,215",0,84
CT0026,CHESTER PUBLIC LIBRARY,Suburban,"3,752","2,161","6,868",926,"1,312",1,29
CT0027,HENRY CARTER HULL LIBRARY,Suburban,"13,400","3,016","58,120","29,665","7,864",610,894
CT0028,CRAGIN MEMORIAL LIBRARY,Town,"15,501","2,548","64,396","7,146","4,234","7,949","7,407"
CT0029,SAXTON B. LITTLE FREE LIBRARY,Rural,"5,246","2,596","14,398","2,661","3,231","1,756","1,228"
CT0030,CORNWALL LIBRARY ASSOCIATION,Rural,"1,571","1,560","18,720",600,655,55,141
CT0032,CROMWELL BELDEN PUBLIC LIBRARY,Suburban,"14,302","2,473","49,686","4,149","3,858","5,387","6,099"
CT0033,DANBURY PUBLIC LIBRARY,City,"86,759","2,652","193,560","25,661","27,614",547,542
CT0034,LONG RIDGE LIBRARY,Rural,"86,759",,"196,248","32,571","34,767","33,005","33,996"
CT0034,LONG RIDGE LIBRARY,Rural,"86,759",-1,,,,,
CT0035,DARIEN LIBRARY,Suburban,"21,500","3,764","161,637","68,928","11,914","1,024",407
CT0036,DEEP RIVER PUBLIC LIBRARY,Suburban,"4,462","2,184","16,905",980,"1,552","1,115","1,259"
CT0037,DERBY NECK LIBRARY,Suburban,"12,274","2,385","19,859","5,423","1,534","3,047",679
CT0038,DERBY PUBLIC LIBRARY,Suburban,"12,274","2,698","28,066","4,033","2,020","4,463",931
CT0039,DURHAM PUBLIC LIBRARY,Suburban,"7,231","2,824","41,810","1,378","3,375","12,260","5,706"
CT0040,EAST GRANBY PUBLIC LIBRARY,Rural,"5,180","2,388","29,333","1,338","2,076",113,375
CT0042,EAST HADDAM FREE PUBLIC LIBRARY,Town,"8,965","4,784","37,804",503,"3,813","6,225","4,022"
CT0043,EAST HAMPTON PUBLIC LIBRARY,Town,"12,874","2,446","48,342","4,919","5,966","5,832","6,016"
CT0044,MIDDLE HADDAM PUBLIC LIBRARY,Town,"12,874",,"43,246","5,507","5,853","12,516","11,345"
CT0044,MIDDLE HADDAM PUBLIC LIBRARY,Town,"12,874",-1,,,,,
CT0045,EAST HARTFORD PUBLIC LIBRARY,City,"50,731","2,756","58,106","4,512","9,340","6,004","3,708"
CT0046,HAGAMAN MEMORIAL LIBRARY,Suburban,"27,804","2,493","100,000","4,858","6,794",500,131
CT0047,EAST LYME PUBLIC LIBRARY,Suburban,"18,849","3,068","48,251","3,606","7,201","11,779","12,007"
CT0048,EASTON PUBLIC LIBRARY,Rural,"7,594","2,340","14,175","3,146","3,843","5,481","3,045"
CT0049,BROAD BROOK LIBRARY,Suburban,"11,161",,"37,492","4,775","5,075","10,851","9,835"
CT0049,BROAD BROOK LIBRARY,Suburban,"11,161",-1,,,,,
CT0050,LIBRARY ASSOCIATION OF WAREHOUSE POINT,Suburban,"11,161","2,390","13,069",472,"2,019","2,604","1,261"
CT0051,HALL MEMORIAL LIBRARY,Suburban,"16,630","2,778","71,639","2,957","7,761","3,693","4,126"
CT0052,ENFIELD PUBLIC LIBRARY,Suburban,"42,031","5,512","84,080","22,307","12,415","10,649","11,460"
CT0053,ESSEX LIBRARY ASSOCIATION,Suburban,"6,759","2,340","30,099","7,384","2,421","3,254","6,060"
CT0054,IVORYTON LIBRARY ASSOCIATION,Suburban,"6,759","2,392","5,134",986,551,"3,209","1,881"
CT0055,FAIRFIELD PUBLIC LIBRARY,Suburban,"61,949","5,358","221,386","50,144","26,222",0,0
CT0056,PEQUOT LIBRARY ASSOCIATION,Suburban,"61,949","2,504","17,204",572,"30,819",94,83
CT0057,FARMINGTON LIBRARIES,Suburban,"26,645","4,976","135,467","46,721","15,300",348,"1,424"
CT0058,EAST GLASTONBURY PUBLIC LIBRARY,Suburban,"35,054",,"100,252","16,955","13,386","25,930","25,337"
CT0058,EAST GLASTONBURY PUBLIC LIBRARY,Suburban,"35,054",-1,,,,,
CT0059,WELLES-TURNER MEMORIAL LIBRARY,Suburban,"35,054","1,998","54,720","11,840","10,607","7,187","18,563"
CT0060,SOUTH GLASTONBURY PUBLIC LIBRARY,Suburban,"35,054",,"100,252","16,955","13,386","25,930","25,337"
CT0060,SOUTH GLASTONBURY PUBLIC LIBRARY,Suburban,"35,054",-1,,,,,
CT0061,GOSHEN PUBLIC LIBRARY,Rural,"3,165","2,428","6,168",165,"2,520",812,963
CT0062,GRANBY PUBLIC LIBRARY,Suburban,"10,953","2,702","41,093","5,772","3,604","4,582","6,764"
CT0063,GREENWICH LIBRARY,Suburban,"63,514","7,957","320,834","58,075","29,425","5,143","1,632"
CT0064,PERROT MEMORIAL LIBRARY,Suburban,"63,514","2,964","85,587","23,135","5,127",311,118
CT0066,SLATER LIBRARY,Town,"15,605","1,716","13,801","1,768","1,813","1,604","2,571"
CT0067,BILL MEMORIAL LIBRARY,Suburban,"38,456","2,548","13,545","2,729",613,"1,346","3,974"
CT0068,GROTON PUBLIC LIBRARY,Suburban,"38,456","3,102","102,527","20,722","11,993","5,673","4,756"
CT0069,MYSTIC & NOANK LIBRARY,Suburban,"56,883","2,496","69,175",520,"2,344","2,690","2,498"
CT0070,GUILFORD FREE LIBRARY,Suburban,"22,031","3,050","117,939","11,838","10,729","12,723","17,166"
CT0071,BRAINERD MEMORIAL LIBRARY,Suburban,"8,529","1,969","36,720","3,798","6,819","5,869","3,315"
CT0072,HAMDEN PUBLIC LIBRARY,Suburban,"60,923","5,225","35,831","12,234","14,304","19,212","19,055"
CT0073,HARTFORD PUBLIC LIBRARY,City,"120,576","8,030","254,232","33,263","65,550",172,42
CT0075,HARWINTON PUBLIC LIBRARY,Rural,"5,508","2,364","12,375",504,"2,182",574,852
CT0076,DOUGLAS LIBRARY OF HEBRON,Rural,"9,066","2,352","53,693","6,650","2,843","2,322","3,694"
CT0077,KENT LIBRARY ASSOCIATION,Rural,"2,984","2,262","25,270",350,"1,013","1,174","1,484"
CT0078,KILLINGLY PUBLIC LIBRARY,Suburban,"17,742","2,338","59,740","1,365","3,001","4,071","3,870"
CT0079,KILLINGWORTH LIBRARY,Rural,"6,268","2,556","14,775",416,"3,094","2,438","2,309"
CT0080,JONATHAN TRUMBULL LIBRARY,Rural,"7,108","2,064","30,000","1,000","2,002","2,045","3,771"
CT0081,LEDYARD PUBLIC LIBRARIES,Rural,"15,336","5,108","29,735","3,517","4,947",84,125
CT0082,GILBERT LIBRARY,Suburban,"8,170",,"30,278","3,385","3,953","6,588","6,808"
CT0082,GILBERT LIBRARY,Suburban,"8,170",-1,,,,,
CT0083,OLIVER WOLCOTT LIBRARY,Town,"8,170","2,444","34,626","3,274","2,857","9,077","10,380"
CT0084,LYME PUBLIC LIBRARY,Rural,"2,344","1,932","11,349",520,"1,035",279,351
CT0085,E.C. SCRANTON MEMORIAL LIBRARY,Suburban,"17,619","2,964","79,414","13,728","10,395","7,869","14,392"
CT0086,MANCHESTER PUBLIC LIBRARY,Suburban,"59,426","6,128","175,392","38,401","25,748","5,092","14,089"
CT0087,MANSFIELD PUBLIC LIBRARY,Rural,"26,357","6,518","39,669","7,245","4,418","11,316","9,719"
CT0088,RICHMOND MEMORIAL LIBRARY,Rural,"6,093","2,520","78,771","3,551","1,901","6,437","4,683"
CT0089,MERIDEN PUBLIC LIBRARY,Suburban,"60,517","1,791","34,700","8,227","14,237","7,356","5,725"
CT0090,MIDDLEBURY PUBLIC LIBRARY,Suburban,"7,684","2,152","9,509",68,"2,299",329,728
CT0091,LEVI E. COE LIBRARY,Rural,"4,274","1,788","6,298","2,027","1,320","4,886","2,537"
CT0092,RUSSELL LIBRARY,City,"47,108","2,880","107,070","31,834","14,722","9,551","11,898"
CT0093,MILFORD PUBLIC LIBRARY,City,"52,390","2,470","93,000","13,723","19,630","8,772","13,489"
CT0094,EDITH WHEELER MEMORIAL LIBRARY,Suburban,"18,764","2,229","61,919","7,865","6,476","7,641","5,124"
CT0095,RAYMOND LIBRARY,Rural,"18,478","1,474","16,744",23,"7,462",148,506
CT0096,MORRIS PUBLIC LIBRARY,Rural,"2,259","1,967","10,407",364,"1,239",889,"1,842"
CT0097,HOWARD WHITTEMORE MEMORIAL LIBRARY,Suburban,"31,433","2,040","48,114","3,154","4,267","3,001","2,804"
CT0098,NEW BRITAIN PUBLIC LIBRARY,Suburban,"73,841","4,744","117,583","12,054","13,706","27,094","14,718"
CT0099,NEW CANAAN LIBRARY,Suburban,"20,732","3,158","94,423","25,449","9,370",655,612
CT0100,NEW FAIRFIELD FREE PUBLIC LIBRARY,Suburban,"13,545","2,377","39,066","5,795","4,862",314,"1,321"
CT0101,"BAKERVILLE LIBRARY, INC.",Rural,"6,668","1,612","3,148",297,"1,772",104,131
CT0102,LICIA & MASON BEEKLEY COMMUNITY LIBRARY,Suburban,"6,668","2,912","13,156","6,590","3,512","3,331","1,441"
CT0103,NEW HAVEN FREE PUBLIC LIBRARY,City,"135,081","9,293","215,526","6,475","32,589",707,734
CT0104,LUCY ROBBINS WELLES LIBRARY,Suburban,"30,365","2,638","71,388","37,703","8,085","16,122","9,211"
CT0105,PUBLIC LIBRARY OF NEW LONDON,City,"27,635","2,658","81,744","8,829","5,870","5,940","3,355"
CT0106,NEW MILFORD PUBLIC LIBRARY,Suburban,"28,182","2,392","10,302",802,"3,900",52,54
CT0107,CYRENIUS H. BOOTH LIBRARY,Suburban,"27,522","3,078","76,104","6,604","10,787","12,679","8,608"
CT0108,NORFOLK LIBRARY,Rural,"1,587","2,392","16,428","2,756",948,"2,358",679
CT0109,NORTH BRANFORD LIBRARY DEPARTMENT,Suburban,"13,498","5,596","44,811","7,956","4,402","11,394","6,326"
CT0110,DOUGLAS LIBRARY,Rural,"3,185","1,534","11,300",225,503,904,"1,062"
CT0111,NORTH HAVEN MEMORIAL LIBRARY,Suburban,"24,169","2,578","55,140","14,847","9,459","11,440","10,719"
CT0112,WHEELER LIBRARY,Rural,"5,137","1,820","18,600",154,"2,045",877,"1,205"
CT0113,EAST NORWALK LIBRARY,City,"91,194",,"4,089",282,"1,595","34,692",0
CT0113,EAST NORWALK LIBRARY,City,"91,194",-1,,,,,
CT0114,NORWALK PUBLIC LIBRARY,City,"91,194","4,758","290,000","84,263","50,321",287,325
CT0115,ROWAYTON LIBRARY,City,"91,194","2,256","15,000","1,000","1,930","2,471",944
CT0116,OTIS LIBRARY,City,"40,014","2,352","43,183","3,060","10,254","7,589","7,207"
CT0117,PHOEBE GRIFFIN NOYES LIBRARY,Rural,"7,577","2,756","19,453","1,760","4,042","5,498","6,613"
CT0118,ACTON PUBLIC LIBRARY,Suburban,"10,563","2,868","57,902","6,264","4,943","9,446","7,727"
CT0119,CASE MEMORIAL LIBRARY,Suburban,"14,246","2,496","49,358","8,974","6,235","13,248","10,316"
CT0120,OXFORD PUBLIC LIBRARY,Rural,"12,768","2,395","12,012","1,841","4,615","2,733","6,080"
CT0121,ALDRICH FREE PUBLIC LIBRARY,Suburban,"14,959","1,150","7,176",63,"8,638",44,128
CT0124,PLAINVILLE PUBLIC LIBRARY,Suburban,"17,445","2,834","58,368","7,846","4,700","14,656","10,936"
CT0126,TERRYVILLE PUBLIC LIBRARY,Suburban,"11,659","1,978","65,769","2,364","2,240","2,915","1,092"
CT0127,POMFRET PUBLIC LIBRARY,Rural,"4,271","1,664","9,208",832,"1,189",153,509
CT0128,ABINGTON SOCIAL LIBRARY,Rural,"4,271",,"12,625","1,822","2,038","2,203","2,265"
CT0128,ABINGTON SOCIAL LIBRARY,Rural,"4,271",-1,,,,,
CT0129,PORTLAND PUBLIC LIBRARY,Suburban,"9,462","2,391","37,804","3,396","3,169","3,125","3,632"
CT0130,PRESTON PUBLIC LIBRARY,Rural,"4,802","1,612","4,841",276,774,508,489
